sgg_cd,sgg_nm_k,sgg_nm_e,sido_cd,sido_nm_k,sido_nm_e,cd_fac,cd_range,value,stats_year,raw_d_year,pop_year
43745,증평군,Jeungpyeong-gun,43,충청북도,Chungcheongbuk-do,1,0.750,26008,2022,202210,202210
43750,진천군,Jincheon-gun,43,충청북도,Chungcheongbuk-do,1,0.750,31589,2022,202210,202210
43760,괴산군,Goesan-gun,43,충청북도,Chungcheongbuk-do,1,0.750,4392,2022,202210,202210
43770,음성군,Eumseong-gun,43,충청북도,Chungcheongbuk-do,1,0.750,30471,2022,202210,202210
43800,단양군,Danyang-gun,43,충청북도,Chungcheongbuk-do,1,0.750,11798,2022,202210,202210
44131,천안시 동남구,"Dongnam-gu, Cheonan-si",44,충청남도,Chungcheongnam-do,1,0.750,167886,2022,202210,202210
44133,천안시 서북구,"Seobuk-gu, Cheonan-si",44,충청남도,Chungcheongnam-do,1,0.750,264730,2022,202210,202210
44150,공주시,Gongju-si,44,충청남도,Chungcheongnam-do,1,0.750,36656,2022,202210,202210
44180,보령시,Boryeong-si,44,충청남도,Chungcheongnam-do,1,0.750,45659,2022,202210,202210
44200,아산시,Asan-si,44,충청남도,Chungcheongnam-do,1,0.750,150504,2022,202210,202210
44210,서산시,Seosan-si,44,충청남도,Chungcheongnam-do,1,0.750,92315,2022,202210,202210
44230,논산시,Nonsan-si,44,충청남도,Chungcheongnam-do,1,0.750,47252,2022,202210,202210
44250,계룡시,Gyeryong-si,44,충청남도,Chungcheongnam-do,1,0.750,28750,2022,202210,202210
44270,당진시,Dangjin-si,44,충청남도,Chungcheongnam-do,1,0.750,78554,2022,202210,202210
44710,금산군,Geumsan-gun,44,충청남도,Chungcheongnam-do,1,0.750,7356,2022,202210,202210
44760,부여군,Buyeo-gun,44,충청남도,Chungcheongnam-do,1,0.750,6490,2022,202210,202210
44770,서천군,Seocheon-gun,44,충청남도,Chungcheongnam-do,1,0.750,9234,2022,202210,202210
44790,청양군,Cheongyang-gun,44,충청남도,Chungcheongnam-do,1,0.750,7105,2022,202210,202210
44800,홍성군,Hongseong-gun,44,충청남도,Chungcheongnam-do,1,0.750,50647,2022,202210,202210
44810,예산군,Yesan-gun,44,충청남도,Chungcheongnam-do,1,0.750,27388,2022,202210,202210
44825,태안군,Taean-gun,44,충청남도,Chungcheongnam-do,1,0.750,19512,2022,202210,202210
45111,전주시 완산구,"Wansan-gu, Jeonju-si",45,전라북도,Jeollabuk-do,1,0.750,268463,2022,202210,202210
45113,전주시 덕진구,"Deokjin-gu, Jeonju-si",45,전라북도,Jeollabuk-do,1,0.750,212066,2022,202210,202210
45130,군산시,Gunsan-si,45,전라북도,Jeollabuk-do,1,0.750,181814,2022,202210,202210
45140,익산시,Iksan-si,45,전라북도,Jeollabuk-do,1,0.750,151946,2022,202210,202210
45180,정읍시,Jeongeup-si,45,전라북도,Jeollabuk-do,1,0.750,46734,2022,202210,202210
45190,남원시,Namwon-si,45,전라북도,Jeollabuk-do,1,0.750,25118,2022,202210,202210
45210,김제시,Gimje-si,45,전라북도,Jeollabuk-do,1,0.750,24981,2022,202210,202210
45710,완주군,Wanju-gun,45,전라북도,Jeollabuk-do,1,0.750,21931,2022,202210,202210
45720,진안군,Jinan-gun,45,전라북도,Jeollabuk-do,1,0.750,1620,2022,202210,202210
45730,무주군,Muju-gun,45,전라북도,Jeollabuk-do,1,0.750,5426,2022,202210,202210
45740,장수군,Jangsu-gun,45,전라북도,Jeollabuk-do,1,0.750,761,2022,202210,202210
45750,임실군,Imsil-gun,45,전라북도,Jeollabuk-do,1,0.750,1865,2022,202210,202210
45770,순창군,Sunchang-gun,45,전라북도,Jeollabuk-do,1,0.750,2845,2022,202210,202210
45790,고창군,Gochang-gun,45,전라북도,Jeollabuk-do,1,0.750,12712,2022,202210,202210
45800,부안군,Buan-gun,45,전라북도,Jeollabuk-do,1,0.750,456,2022,202210,202210
46110,목포시,Mokpo-si,46,전라남도,Jellanam-do,1,0.750,168020,2022,202210,202210
46130,여수시,Yeosu-si,46,전라남도,Jellanam-do,1,0.750,137639,2022,202210,202210
46150,순천시,Suncheon-si,46,전라남도,Jellanam-do,1,0.750,169317,2022,202210,202210
46170,나주시,Naju-si,46,전라남도,Jellanam-do,1,0.750,43228,2022,202210,202210
46230,광양시,Gwangyang-si,46,전라남도,Jellanam-do,1,0.750,112716,2022,202210,202210
46710,담양군,Damyang-gun,46,전라남도,Jellanam-do,1,0.750,5651,2022,202210,202210
46720,곡성군,Gokseong-gun,46,전라남도,Jellanam-do,1,0.750,3447,2022,202210,202210
46730,구례군,Gurye-gun,46,전라남도,Jellanam-do,1,0.750,8267,2022,202210,202210
46770,고흥군,Goheung-gun,46,전라남도,Jellanam-do,1,0.750,9295,2022,202210,202210
46780,보성군,Boseong-gun,46,전라남도,Jellanam-do,1,0.750,1649,2022,202210,202210
46790,화순군,Hwasun-gun,46,전라남도,Jellanam-do,1,0.750,20890,2022,202210,202210
46800,장흥군,Jangheung-gun,46,전라남도,Jellanam-do,1,0.750,5067,2022,202210,202210
46810,강진군,Gangjin-gun,46,전라남도,Jellanam-do,1,0.750,2463,2022,202210,202210
46820,해남군,Haenam-gun,46,전라남도,Jellanam-do,1,0.750,18018,2022,202210,202210
46830,영암군,Yeongam-gun,46,전라남도,Jellanam-do,1,0.750,8448,2022,202210,202210
46840,무안군,Muan-gun,46,전라남도,Jellanam-do,1,0.750,30413,2022,202210,202210
46860,함평군,Hampyeong-gun,46,전라남도,Jellanam-do,1,0.750,5193,2022,202210,202210
46870,영광군,Yeonggwang-gun,46,전라남도,Jellanam-do,1,0.750,12531,2022,202210,202210
46880,장성군,Jangseong-gun,46,전라남도,Jellanam-do,1,0.750,6764,2022,202210,202210
46890,완도군,Wando-gun,46,전라남도,Jellanam-do,1,0.750,7349,2022,202210,202210
46900,진도군,Jindo-gun,46,전라남도,Jellanam-do,1,0.750,3118,2022,202210,202210
46910,신안군,Sinan-gun,46,전라남도,Jellanam-do,1,0.750,0,2022,202210,202210
47111,포항시 남구,"Nam-gu, Pohang-si",47,경상북도,Gyeongsangbuk-do,1,0.750,130787,2022,202210,202210
47113,포항시 북구,"Buk-gu, Pohang-si",47,경상북도,Gyeongsangbuk-do,1,0.750,168321,2022,202210,202210
47130,경주시,Gyeongju-si,47,경상북도,Gyeongsangbuk-do,1,0.750,111813,2022,202210,202210
47150,김천시,Gimcheon-si,47,경상북도,Gyeongsangbuk-do,1,0.750,55728,2022,202210,202210
47170,안동시,Andong-si,47,경상북도,Gyeongsangbuk-do,1,0.750,78781,2022,202210,202210
47190,구미시,Gumi-si,47,경상북도,Gyeongsangbuk-do,1,0.750,280138,2022,202210,202210
47210,영주시,Yeongju-si,47,경상북도,Gyeongsangbuk-do,1,0.750,47149,2022,202210,202210
47230,영천시,Yeongcheon-si,47,경상북도,Gyeongsangbuk-do,1,0.750,30616,2022,202210,202210
47250,상주시,Sangju-si,47,경상북도,Gyeongsangbuk-do,1,0.750,28070,2022,202210,202210
47280,문경시,Mungyeong-si,47,경상북도,Gyeongsangbuk-do,1,0.750,31852,2022,202210,202210
47290,경산시,Gyeongsan-si,47,경상북도,Gyeongsangbuk-do,1,0.750,197160,2022,202210,202210
47720,군위군,Gunwi-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,3340,2022,202210,202210
47730,의성군,Uiseong-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,1430,2022,202210,202210
47750,청송군,Cheongsong-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,3177,2022,202210,202210
47760,영양군,Yeongyang-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,1016,2022,202210,202210
47770,영덕군,Yeongdeok-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,8327,2022,202210,202210
47820,청도군,Cheongdo-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,5425,2022,202210,202210
47830,고령군,Goryeong-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,4279,2022,202210,202210
47840,성주군,Seongju-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,6328,2022,202210,202210
47850,칠곡군,Chilgok-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,45581,2022,202210,202210
47900,예천군,Yecheon-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,14818,2022,202210,202210
47920,봉화군,Bonghwa-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,3444,2022,202210,202210
47930,울진군,Uljin-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,10686,2022,202210,202210
48121,창원시 의창구,"Uichang-gu, Changwon-si",48,경상남도,Gyeongsangnam-do,1,0.750,172513,2022,202210,202210
48123,창원시 성산구,"Seongsan-gu, Changwon-si",48,경상남도,Gyeongsangnam-do,1,0.750,173289,2022,202210,202210
48125,창원시 마산합포구,"Masanhappo-gu, Changwon-si",48,경상남도,Gyeongsangnam-do,1,0.750,111819,2022,202210,202210
48127,창원시 마산회원구,"Masanhoewon-gu, Changwon-si",48,경상남도,Gyeongsangnam-do,1,0.750,142587,2022,202210,202210
48129,창원시 진해구,"Jinhae-gu, Changwon-si",48,경상남도,Gyeongsangnam-do,1,0.750,122024,2022,202210,202210
48170,진주시,Jinju-si,48,경상남도,Gyeongsangnam-do,1,0.750,189908,2022,202210,202210
48220,통영시,Tongyeong-si,48,경상남도,Gyeongsangnam-do,1,0.750,46982,2022,202210,202210
48240,사천시,Sacheon-si,48,경상남도,Gyeongsangnam-do,1,0.750,20840,2022,202210,202210
48250,김해시,Gimhae-si,48,경상남도,Gyeongsangnam-do,1,0.750,310548,2022,202210,202210
48270,밀양시,Miryang-si,48,경상남도,Gyeongsangnam-do,1,0.750,40075,2022,202210,202210
48310,거제시,Geoje-si,48,경상남도,Gyeongsangnam-do,1,0.750,122349,2022,202210,202210
48330,양산시,Yangsan-si,48,경상남도,Gyeongsangnam-do,1,0.750,248035,2022,202210,202210
48720,의령군,Uiryeong-gun,48,경상남도,Gyeongsangnam-do,1,0.750,1639,2022,202210,202210
48730,함안군,Haman-gun,48,경상남도,Gyeongsangnam-do,1,0.750,4837,2022,202210,202210
48740,창녕군,Changnyeong-gun,48,경상남도,Gyeongsangnam-do,1,0.750,14776,2022,202210,202210
48820,고성군,Goseong-gun,48,경상남도,Gyeongsangnam-do,1,0.750,3181,2022,202210,202210
48840,남해군,Namhae-gun,48,경상남도,Gyeongsangnam-do,1,0.750,5067,2022,202210,202210
48850,하동군,Hadong-gun,48,경상남도,Gyeongsangnam-do,1,0.750,1078,2022,202210,202210
48860,산청군,Sancheong-gun,48,경상남도,Gyeongsangnam-do,1,0.750,5468,2022,202210,202210
48870,함양군,Hamyang-gun,48,경상남도,Gyeongsangnam-do,1,0.750,1443,2022,202210,202210
48880,거창군,Geochang-gun,48,경상남도,Gyeongsangnam-do,1,0.750,26909,2022,202210,202210
48890,합천군,Hapcheon-gun,48,경상남도,Gyeongsangnam-do,1,0.750,0,2022,202210,202210
50110,제주시,Jeju-si,50,제주특별자치도,Jeju-do,1,0.750,272400,2022,202210,202210
50130,서귀포시,Seogwipo-si,50,제주특별자치도,Jeju-do,1,0.750,50245,2022,202210,202210
47940,울릉군,Ulleung-gun,47,경상북도,Gyeongsangbuk-do,1,0.750,-999,2022,202210,202210
